"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";
"2";"";"LEDCHIP-LED0603";"CHIP-LED0603";"PLL, PWR";"LED";"26";
"1";"";"PINHD-1X12";"1X12";"JP1";"PIN HEADER";"28";
"3";"0";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"R1, R7, R8";"RESISTOR, American symbol";"";
"1";"0.1uF";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"C22";"CAPACITOR, European symbol";"";
"4";"0.1uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C7, C11, C13, C17";"CAPACITOR, European symbol";"";
"6";"1.0uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C1, C2, C3, C4, C5, C6";"CAPACITOR, European symbol";"";
"1";"100";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"R6";"RESISTOR, American symbol";"";
"4";"100PF";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"C23, C24, C25, C26";"CAPACITOR, European symbol";"";
"1";"10nF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C12";"CAPACITOR, European symbol";"";
"6";"10uF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C8, C9, C10, C15, C16, C18";"CAPACITOR, European symbol";"";
"4";"142-0701-851";"142-0701-851";"142-0701-851";"OSC_IN, RF_A, RF_B, SYS_REF";"SMA Jack";"";
"1";"220nf";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"C28";"CAPACITOR, European symbol";"";
"2";"330";"R-US_0603-B-NOSILK";".0603-B-NOSILK";"R3, R9";"RESISTOR, American symbol";"";
"1";"4.7nf";"C-EU0402-C-NOSILK";".0402-C-NOSILK";"C27";"CAPACITOR, European symbol";"";
"1";"470pF";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C14";"CAPACITOR, European symbol";"";
"3";"50";"R-US_0402-C-NOSILK";".0402-C-NOSILK";"R2, R4, R5";"RESISTOR, American symbol";"";
"1";"ECS-TXO-3225";"ECS-TXO-3225";"3.2X2.5";"X1";"HCMOS TCXO";"";
"1";"LMX2572_QFN";"LMX2572_QFN";"LMX2572_QFN";"U$1";"";"";
